count,region,catoROI,msbpROI,annotLabel,hemi
158,ctx-rh-parsopercularis_1,2048,12,12,rh
159,ctx-rh-parsopercularis_2,2049,13,13,rh
160,ctx-rh-parsorbitalis_1,2050,5,5,rh
161,ctx-rh-parstriangularis_1,2051,10,10,rh
162,ctx-rh-parstriangularis_2,2052,11,11,rh
163,ctx-rh-pericalcarine_1,2053,74,74,rh
164,ctx-rh-pericalcarine_2,2054,75,75,rh
165,ctx-rh-postcentral_1,2055,45,45,rh
166,ctx-rh-postcentral_2,2056,46,46,rh
167,ctx-rh-postcentral_3,2057,47,47,rh
168,ctx-rh-postcentral_4,2058,48,48,rh
169,ctx-rh-postcentral_5,2059,49,49,rh
170,ctx-rh-posteriorcingulate_1,2060,42,42,rh
171,ctx-rh-posteriorcingulate_2,2061,43,43,rh
172,ctx-rh-precentral_1,2062,31,31,rh
173,ctx-rh-precentral_2,2063,32,32,rh
174,ctx-rh-precentral_3,2064,33,33,rh
175,ctx-rh-precentral_4,2065,34,34,rh
176,ctx-rh-precentral_5,2066,35,35,rh
177,ctx-rh-precentral_6,2067,36,36,rh
178,ctx-rh-precuneus_1,2068,67,67,rh
179,ctx-rh-precuneus_2,2069,68,68,rh
180,ctx-rh-precuneus_3,2070,69,69,rh
181,ctx-rh-precuneus_4,2071,70,70,rh
182,ctx-rh-precuneus_5,2072,71,71,rh
183,ctx-rh-rostralanteriorcingulate_1,2073,40,40,rh
184,ctx-rh-rostralmiddlefrontal_1,2074,14,14,rh
185,ctx-rh-rostralmiddlefrontal_2,2075,15,15,rh
186,ctx-rh-rostralmiddlefrontal_3,2076,16,16,rh
187,ctx-rh-rostralmiddlefrontal_4,2077,17,17,rh
188,ctx-rh-rostralmiddlefrontal_5,2078,18,18,rh
189,ctx-rh-rostralmiddlefrontal_6,2079,19,19,rh
190,ctx-rh-superiorfrontal_1,2080,20,20,rh
191,ctx-rh-superiorfrontal_2,2081,21,21,rh
192,ctx-rh-superiorfrontal_3,2082,22,22,rh
193,ctx-rh-superiorfrontal_4,2083,23,23,rh
194,ctx-rh-superiorfrontal_5,2084,24,24,rh
195,ctx-rh-superiorfrontal_6,2085,25,25,rh
196,ctx-rh-superiorfrontal_7,2086,26,26,rh
197,ctx-rh-superiorfrontal_8,2087,27,27,rh
198,ctx-rh-superiorparietal_1,2088,54,54,rh
199,ctx-rh-superiorparietal_2,2089,55,55,rh
200,ctx-rh-superiorparietal_3,2090,56,56,rh
201,ctx-rh-superiorparietal_4,2091,57,57,rh
202,ctx-rh-superiorparietal_5,2092,58,58,rh
203,ctx-rh-superiorparietal_6,2093,59,59,rh
204,ctx-rh-superiorparietal_7,2094,60,60,rh
205,ctx-rh-superiortemporal_1,2095,100,100,rh
206,ctx-rh-superiortemporal_2,2096,101,101,rh
207,ctx-rh-superiortemporal_3,2097,102,102,rh
208,ctx-rh-superiortemporal_4,2098,103,103,rh
209,ctx-rh-superiortemporal_5,2099,104,104,rh
210,ctx-rh-supramarginal_1,2100,50,50,rh
211,ctx-rh-supramarginal_2,2101,51,51,rh
212,ctx-rh-supramarginal_3,2102,52,52,rh
213,ctx-rh-supramarginal_4,2103,53,53,rh
214,ctx-rh-frontalpole_1,2104,6,6,rh
215,ctx-rh-temporalpole_1,2105,90,90,rh
216,ctx-rh-transversetemporal_1,2106,105,105,rh
217,ctx-rh-insula_1,2107,106,106,rh
218,ctx-rh-insula_2,2108,107,107,rh
219,ctx-rh-insula_3,2109,108,108,rh
